RK,team_id,GP,PTS/G,PTS,PLAYS,YDS,YDS/PLAY,1ST DWN,PENALTY,P YDS,TOP,+/- TOV,YEAR,PHASE,CATEGORY
1,CIN,16,25.6,409,1055,6539,6.2,348,110,847,29:49:00,-10,1986,REG,offense
2,MIA,16,26.9,430,1027,6324,6.2,351,71,609,30:35:00,-10,1986,REG,offense
3,SF,16,23.4,374,1143,6108,5.3,345,95,691,31:09:00,18,1986,REG,offense
4,MIN,16,24.9,398,1016,5656,5.6,321,96,890,30:27:00,13,1986,REG,offense
5,WAS,16,23.0,368,1069,5597,5.2,312,94,860,30:59:00,-4,1986,REG,offense
6,NYJ,16,22.8,364,1056,5556,5.3,319,130,976,30:56:00,1,1986,REG,offense
7,DAL,16,21.6,346,1049,5522,5.3,325,111,921,31:14:00,-5,1986,REG,offense
8,CHI,16,22.0,352,1084,5466,5.0,305,98,757,33:41:00,2,1986,REG,offense
9,NYG,16,23.2,371,1085,5417,5.0,324,95,733,32:50:00,12,1986,REG,offense
10,SEA,16,22.9,366,1012,5409,5.3,291,99,813,29:02:00,9,1986,REG,offense
11,CLE,16,24.4,391,1044,5394,5.2,302,102,812,30:21:00,13,1986,REG,offense
12,LAC,16,20.9,335,1137,5356,4.7,334,119,977,31:33:00,-11,1986,REG,offense
13,NE,16,25.8,412,1078,5355,5.0,314,87,672,30:29:00,16,1986,REG,offense
14,LVR,16,20.2,323,1068,5299,5.0,302,114,951,32:57:00,-11,1986,REG,offense
15,DEN,16,23.6,378,1052,5207,4.9,319,106,910,30:30:00,6,1986,REG,offense
16,HOU,16,17.1,274,1071,5144,4.8,297,117,978,31:06:00,-11,1986,REG,offense
17,ATL,16,17.5,280,1055,5109,4.8,305,100,763,34:31:00,5,1986,REG,offense
18,GB,16,15.9,254,1019,5063,5.0,286,128,939,28:11:00,-15,1986,REG,offense
19,BUF,16,17.9,287,954,5026,5.3,291,119,888,28:03:00,-21,1986,REG,offense
20,PIT,16,19.2,307,1097,4827,4.4,292,103,866,30:10:00,-3,1986,REG,offense
21,IND,16,14.3,229,1016,4774,4.7,276,99,873,29:27:00,-9,1986,REG,offense
22,NO,16,18.0,288,977,4742,4.9,272,108,855,28:59:00,0,1986,REG,offense
23,LAR,16,19.3,309,1019,4675,4.6,269,84,599,30:51:00,4,1986,REG,offense
24,DET,16,17.3,277,1008,4585,4.5,287,84,658,30:42:00,6,1986,REG,offense
25,PHI,16,16.0,256,1069,4550,4.3,287,102,901,33:55:00,8,1986,REG,offense
26,LAR,16,13.6,218,965,4503,4.7,273,116,924,30:23:00,-6,1986,REG,offense
27,TB,16,14.9,239,934,4370,4.7,273,81,636,29:06:00,-10,1986,REG,offense
28,KC,16,22.4,358,997,4226,4.2,264,96,824,28:29:00,13,1986,REG,offense
1,DEN,3,21.7,65,217,1187,5.5,68,13,87,32:38:00,-1,1986,POST,offense
2,NYG,3,35.0,105,196,964,4.9,57,15,119,34:06:00,4,1986,POST,offense
3,CLE,2,21.5,43,168,914,5.4,50,13,116,30:02:00,-4,1986,POST,offense
4,WAS,3,15.3,46,204,720,3.5,50,17,125,32:15:00,10,1986,POST,offense
5,NYJ,2,27.5,55,126,593,4.7,33,18,148,31:22:00,5,1986,POST,offense
6,LAR,1,7.0,7,52,324,6.2,15,8,78,23:54,-6,1986,POST,offense
7,NE,1,17.0,17,49,271,5.5,12,5,45,24:31:00,2,1986,POST,offense
8,KC,1,15.0,15,59,241,4.1,15,1,5,28:53:00,-3,1986,POST,offense
9,CHI,1,13.0,13,57,220,3.9,14,4,42,26:16:00,-3,1986,POST,offense
10,SF,1,3.0,3,58,184,3.2,9,11,62,25:24:00,-4,1986,POST,offense
1,SF,15,30.6,459,1059,5983,5.6,357,89,807,32:43:00,12,1987,REG,offense
2,DEN,15,25.3,379,1071,5646,5.3,329,95,812,32:24:00,11,1987,REG,offense
3,WAS,15,25.3,379,1031,5597,5.4,301,82,685,31:35:00,-3,1987,REG,offense
4,MIA,15,24.1,362,1013,5538,5.5,330,77,639,30:20:00,-4,1987,REG,offense
5,CIN,15,19.0,285,1053,5403,5.1,320,99,786,30:25:00,-6,1987,REG,offense
6,LAR,15,24.1,362,1032,5326,5.2,326,102,782,31:33:00,6,1987,REG,offense
7,LVR,15,20.1,301,976,5267,5.4,300,114,1048,31:45:00,-3,1987,REG,offense
8,HOU,15,23.0,345,998,5228,5.2,293,111,999,30:17:00,0,1987,REG,offense
9,CLE,15,26.0,390,988,5154,5.2,310,100,855,32:48:00,7,1987,REG,offense
10,PHI,15,22.5,337,1085,5083,4.7,289,116,919,33:40:00,13,1987,REG,offense
11,DAL,15,22.7,340,1016,5054,5.0,293,131,1091,31:01:00,3,1987,REG,offense
12,CHI,15,23.7,356,1048,5042,4.8,319,103,826,32:58:00,-20,1987,REG,offense
13,IND,15,20.0,300,985,5017,5.1,285,89,732,30:29:00,11,1987,REG,offense
14,NO,15,28.1,422,1027,4964,4.8,303,107,989,34:01:00,20,1987,REG,offense
15,MIN,15,22.4,336,971,4811,5.0,294,96,824,30:33:00,4,1987,REG,offense
16,SEA,15,24.7,371,936,4746,5.1,300,79,668,31:35:00,3,1987,REG,offense
17,BUF,15,18.0,270,1015,4741,4.7,294,94,762,29:17:00,-12,1987,REG,offense
18,LAR,15,21.1,317,970,4651,4.8,275,92,677,30:59:00,-7,1987,REG,offense
19,NYG,15,18.7,280,995,4649,4.7,266,101,835,29:07:00,-9,1987,REG,offense
20,LAC,15,16.9,253,956,4631,4.8,264,98,748,28:13:00,-15,1987,REG,offense
21,NYJ,15,22.3,334,1005,4630,4.6,292,138,1055,31:57:00,-5,1987,REG,offense
22,GB,15,17.0,255,949,4482,4.7,248,134,1102,30:05:00,8,1987,REG,offense
23,NE,15,21.3,320,998,4454,4.5,266,64,506,30:05:00,10,1987,REG,offense
24,KC,15,18.2,273,878,4418,5.0,265,109,866,27:28:00,-14,1987,REG,offense
25,PIT,15,19.0,285,970,4405,4.5,265,104,796,30:45:00,11,1987,REG,offense
26,DET,15,17.9,269,948,4391,4.6,269,88,767,29:43:00,-5,1987,REG,offense
27,TB,15,19.1,286,951,4381,4.6,263,115,894,29:37:00,5,1987,REG,offense
28,ATL,15,13.7,205,851,4069,4.8,230,98,797,26:01:00,-21,1987,REG,offense
1,WAS,3,26.7,80,206,1154,5.6,53,12,103,30:45:00,4,1987,POST,offense
2,MIN,3,30.0,90,214,1133,5.3,66,9,72,36:01:00,4,1987,POST,offense
3,DEN,3,27.3,82,179,1055,5.9,61,16,105,27:52:00,2,1987,POST,offense
4,CLE,2,35.5,71,137,868,6.3,50,11,79,32:02:00,-1,1987,POST,offense
5,HOU,2,16.5,33,154,774,5.0,46,14,98,40:08:00,-3,1987,POST,offense
6,SF,1,24.0,24,64,358,5.6,17,8,75,26:17:00,-1,1987,POST,offense
7,IND,1,21.0,21,60,315,5.2,23,7,75,27:34:00,-1,1987,POST,offense
8,CHI,1,17.0,17,60,280,4.7,15,5,50,32:57:00,-1,1987,POST,offense
9,SEA,1,20.0,20,52,250,4.8,11,3,20,20:21,1,1987,POST,offense
10,NO,1,10.0,10,51,149,2.9,9,4,26,18:42,-4,1987,POST,offense
1,CIN,16,28.0,448,985,6058,6.2,349,81,639,30:45:00,7,1988,REG,offense
2,SF,16,23.1,369,1076,5913,5.5,326,117,1006,31:47:00,10,1988,REG,offense
3,ARI,16,21.5,344,1101,5840,5.3,335,100,784,31:27:00,-6,1988,REG,offense
4,LAR,16,25.4,407,1057,5821,5.5,333,78,587,31:09:00,3,1988,REG,offense
5,MIA,16,19.9,319,963,5721,5.9,319,97,825,27:02:00,-4,1988,REG,offense
6,WAS,16,21.6,345,1054,5684,5.4,305,95,813,31:11:00,-24,1988,REG,offense
7,MIN,16,25.4,406,1068,5609,5.3,317,117,978,31:05:00,23,1988,REG,offense
8,DEN,16,20.4,327,1077,5545,5.1,338,85,717,30:25:00,-4,1988,REG,offense
9,DAL,16,16.6,265,1060,5484,5.2,311,131,1148,31:41:00,-20,1988,REG,offense
10,PHI,16,23.7,379,1102,5475,5.0,317,115,902,31:21:00,18,1988,REG,offense
11,CHI,16,19.5,312,1039,5349,5.1,304,89,644,33:02:00,1,1988,REG,offense
12,BUF,16,20.6,329,1011,5338,5.3,312,109,824,30:03:00,-3,1988,REG,offense
13,HOU,16,26.5,424,1009,5224,5.2,308,125,1159,31:18:00,8,1988,REG,offense
14,PIT,16,21.0,336,1030,5221,5.1,291,98,798,29:31:00,-2,1988,REG,offense
15,NYJ,16,23.2,372,1089,5208,4.8,331,114,921,31:59:00,13,1988,REG,offense
16,NO,16,19.5,312,1034,5166,5.0,305,101,821,33:38:00,-1,1988,REG,offense
17,TB,16,16.3,261,1000,5065,5.1,295,103,822,29:06:00,-19,1988,REG,offense
18,CLE,16,19.0,304,1014,5060,5.0,295,107,880,31:50:00,-2,1988,REG,offense
19,LVR,16,20.3,325,1035,5020,4.9,281,100,762,30:54:00,-1,1988,REG,offense
20,NYG,16,22.4,359,1077,5006,4.6,316,87,650,30:38:00,5,1988,REG,offense
21,KC,16,15.9,254,1019,4939,4.8,288,82,616,29:31:00,-2,1988,REG,offense
22,IND,16,22.1,354,981,4914,5.0,312,88,667,30:26:00,4,1988,REG,offense
23,SEA,16,21.2,339,982,4869,5.0,291,89,785,29:05:00,6,1988,REG,offense
24,ATL,16,15.2,244,999,4724,4.7,257,67,542,28:08:00,2,1988,REG,offense
25,GB,16,15.0,240,1016,4657,4.6,280,91,756,29:20:00,-9,1988,REG,offense
26,LAC,16,14.4,231,936,4458,4.8,254,113,1021,28:22:00,-5,1988,REG,offense
27,NE,16,15.6,250,1000,4295,4.3,266,87,665,31:10:00,-3,1988,REG,offense
28,DET,16,13.8,220,919,3399,3.7,227,94,809,28:02:00,5,1988,REG,offense
1,SF,3,27.3,82,196,1238,6.3,64,10,92,30:02:00,2,1988,POST,offense
2,CIN,3,19.3,58,199,823,4.1,58,13,139,36:50:00,2,1988,POST,offense
3,HOU,2,17.0,34,123,685,5.6,39,21,178,32:24:00,-3,1988,POST,offense
4,MIN,2,18.5,37,138,619,4.5,40,15,130,31:04:00,2,1988,POST,offense
5,CHI,2,11.5,23,123,608,4.9,29,4,40,28:06:00,-2,1988,POST,offense
6,BUF,2,13.5,27,113,553,4.9,28,13,107,25:42:00,1,1988,POST,offense
7,PHI,1,12.0,12,75,430,5.7,22,7,60,32:44:00,1,1988,POST,offense
8,LAR,1,17.0,17,70,342,4.9,19,10,54,26:06:00,-3,1988,POST,offense
9,SEA,1,13.0,13,69,294,4.3,19,5,45,24:41:00,-1,1988,POST,offense
10,CLE,1,23.0,23,54,260,4.8,19,9,75,26:36:00,1,1988,POST,offense
1,SF,16,27.6,442,1018,6271,6.2,349,108,922,32:44:00,12,1989,REG,offense
2,WAS,16,24.1,386,1116,6249,5.6,338,104,877,33:58:00,5,1989,REG,offense
3,CIN,16,25.2,404,1083,6110,5.6,347,84,637,31:51:00,5,1989,REG,offense
4,LAR,16,26.6,426,1027,6042,5.9,323,104,823,31:52:00,9,1989,REG,offense
5,BUF,16,25.6,409,1044,5853,5.6,335,102,827,30:29:00,-6,1989,REG,offense
6,GB,16,22.6,362,1045,5780,5.5,343,81,666,30:25:00,7,1989,REG,offense
7,MIA,16,20.7,331,1011,5546,5.5,314,82,609,28:26:00,-17,1989,REG,offense
8,NE,16,18.6,297,1130,5463,4.8,338,64,509,31:15:00,-10,1989,REG,offense
9,HOU,16,22.8,365,1028,5419,5.3,327,146,1129,32:16:00,5,1989,REG,offense
10,CHI,16,22.4,358,1027,5380,5.2,303,94,846,31:10:00,-4,1989,REG,offense
11,NO,16,24.1,386,999,5340,5.3,303,90,676,34:57:00,8,1989,REG,offense
12,PHI,16,21.4,342,1123,5310,4.7,320,115,943,31:43:00,24,1989,REG,offense
13,MIN,16,21.9,351,1052,5265,5.0,325,119,974,31:54:00,3,1989,REG,offense
14,KC,16,19.9,318,1019,5251,5.2,304,114,858,33:05:00,-8,1989,REG,offense
15,DEN,16,22.6,362,1072,5088,4.7,308,83,589,33:47:00,11,1989,REG,offense
16,CLE,16,20.9,334,1011,5042,5.0,284,128,973,32:46:00,8,1989,REG,offense
17,NYJ,16,15.8,253,1031,5011,4.9,291,116,956,29:16:00,-16,1989,REG,offense
18,DET,16,19.5,312,927,4992,5.4,274,120,972,26:18:00,-15,1989,REG,offense
19,LVR,16,19.7,315,913,4977,5.5,259,132,1105,29:40:00,2,1989,REG,offense
20,NYG,16,21.8,348,1048,4969,4.7,298,82,671,32:23:00,7,1989,REG,offense
21,LAC,16,16.6,266,985,4913,5.0,268,117,883,29:55:00,2,1989,REG,offense
22,TB,16,20.0,320,1024,4842,4.7,287,99,881,30:55:00,2,1989,REG,offense
23,IND,16,18.6,298,979,4813,4.9,273,90,699,28:52:00,9,1989,REG,offense
24,ATL,16,17.4,279,948,4646,4.9,263,81,666,26:54:00,6,1989,REG,offense
25,ARI,16,16.1,258,985,4641,4.7,262,109,841,28:27:00,-19,1989,REG,offense
26,SEA,16,15.1,241,1010,4605,4.6,286,78,743,30:35:00,-14,1989,REG,offense
27,DAL,16,12.8,204,897,4294,4.8,246,98,751,26:37:00,-26,1989,REG,offense
28,PIT,16,16.6,265,954,4002,4.2,242,114,976,29:50:00,10,1989,REG,offense
1,SF,3,42.0,126,210,1306,6.2,79,17,143,36:00:00,9,1989,POST,offense
2,DEN,3,23.7,71,180,1028,5.7,53,3,24,28:43:00,-2,1989,POST,offense
3,LAR,3,14.3,43,188,1013,5.4,54,7,50,27:23:00,-2,1989,POST,offense
4,PIT,2,24.5,49,125,693,5.5,36,13,90,31:58:00,0,1989,POST,offense
5,CLE,2,27.5,55,123,581,4.7,32,13,85,29:42:00,1,1989,POST,offense
6,BUF,1,30.0,30,73,453,6.2,25,6,35,25:44:00,-2,1989,POST,offense
7,MIN,1,13.0,13,79,385,4.9,25,4,31,31:20:00,-4,1989,POST,offense
8,HOU,1,23.0,23,73,380,5.2,22,8,45,35:44:00,-1,1989,POST,offense
9,NYG,1,13.0,13,67,344,5.1,20,4,59,32:47:00,1,1989,POST,offense
10,PHI,1,7.0,7,62,306,4.9,14,4,35,26:22:00,0,1989,POST,offense
1,HOU,16,25.3,405,1006,6216,6.2,375,135,1004,32:42:00,-3,1990,REG,offense
2,SF,16,22.1,353,1074,5895,5.5,326,104,828,33:01:00,0,1990,REG,offense
3,PHI,16,24.8,396,1070,5694,5.3,324,119,970,34:45:00,1,1990,REG,offense
4,WAS,16,23.8,381,1072,5562,5.2,326,102,822,33:45:00,6,1990,REG,offense
5,LAR,16,21.6,345,1013,5430,5.4,311,86,627,30:21:00,-1,1990,REG,offense
6,BUF,16,26.8,428,932,5271,5.7,302,91,678,29:39:00,14,1990,REG,offense
7,KC,16,23.1,369,974,5215,5.4,279,111,886,32:30:00,26,1990,REG,offense
8,DEN,16,20.7,331,1035,5208,5.0,323,108,774,32:34:00,-7,1990,REG,offense
9,CIN,16,22.5,360,942,5063,5.4,276,82,617,30:54:00,-4,1990,REG,offense
10,ATL,16,21.8,348,995,5056,5.1,276,125,992,31:05:00,0,1990,REG,offense
11,MIA,16,21.0,336,975,5047,5.2,301,67,486,31:33:00,1,1990,REG,offense
12,MIN,16,21.9,351,1001,5030,5.0,288,83,555,30:51:00,-4,1990,REG,offense
13,CHI,16,21.8,348,1024,4980,4.9,296,75,615,34:56:00,19,1990,REG,offense
14,DET,16,23.3,373,871,4977,5.7,281,88,727,26:05:00,-1,1990,REG,offense
15,LAC,16,19.7,315,976,4940,5.1,273,103,886,30:25:00,-2,1990,REG,offense
16,NYJ,16,18.4,295,968,4886,5.0,294,102,858,30:05:00,5,1990,REG,offense
17,NYG,16,20.9,335,969,4797,5.0,273,83,655,32:15:00,19,1990,REG,offense
18,ARI,16,16.8,268,936,4738,5.1,270,94,859,29:38:00,-4,1990,REG,offense
19,LVR,16,21.1,337,861,4716,5.5,258,97,692,29:28:00,-2,1990,REG,offense
20,GB,16,16.9,271,952,4675,4.9,276,88,674,30:34:00,-12,1990,REG,offense
21,SEA,16,19.1,306,945,4583,4.8,284,89,746,31:20:00,-7,1990,REG,offense
22,PIT,16,18.2,292,897,4525,5.0,263,106,928,30:06:00,10,1990,REG,offense
23,TB,16,16.5,264,911,4493,4.9,238,76,641,28:28:00,-2,1990,REG,offense
24,NO,16,17.1,274,931,4476,4.8,255,107,824,30:59:00,-13,1990,REG,offense
25,CLE,16,14.2,228,959,4367,4.6,259,121,915,27:12:00,-24,1990,REG,offense
26,NE,16,11.3,181,955,4163,4.4,240,98,734,28:21:00,-5,1990,REG,offense
27,IND,16,17.6,281,874,4155,4.8,246,77,580,26:28:00,-7,1990,REG,offense
28,DAL,16,15.2,244,911,4083,4.5,251,98,727,29:37:00,-3,1990,REG,offense
1,BUF,3,38.0,114,191,1366,7.2,72,16,97,26:12:00,7,1990,POST,offense
2,NYG,3,22.0,66,209,985,4.7,67,12,91,39:18:00,2,1990,POST,offense
3,MIA,2,25.5,51,140,741,5.3,47,6,54,33:21:00,-2,1990,POST,offense
4,WAS,2,15.0,30,138,740,5.4,40,4,38,30:08:00,-1,1990,POST,offense
5,LVR,2,11.5,23,124,709,5.7,41,2,28,30:04:00,-7,1990,POST,offense
6,CHI,2,9.5,19,123,597,4.9,29,11,87,30:34:00,1,1990,POST,offense
7,SF,2,20.5,41,99,578,5.8,33,13,88,26:34:00,1,1990,POST,offense
8,CIN,2,25.5,51,117,531,4.5,36,5,45,34:01:00,3,1990,POST,offense
9,KC,1,16.0,16,55,367,6.7,15,4,35,25:44:00,1,1990,POST,offense
10,PHI,1,6.0,6,65,318,4.9,16,4,40,29:37:00,-1,1990,POST,offense
11,HOU,1,14.0,14,47,226,4.8,13,5,33,20:15,-2,1990,POST,offense
12,NO,1,6.0,6,54,193,3.6,11,2,10,22:29,-2,1990,POST,offense
1,BUF,16,28.6,458,1056,6252,5.9,358,113,865,26:15:00,2,1991,REG,offense
2,HOU,16,24.1,386,1022,5987,5.9,354,101,784,31:04:00,-3,1991,REG,offense
3,SF,16,24.6,393,986,5858,5.9,335,114,903,32:34:00,-3,1991,REG,offense
4,WAS,16,30.3,485,995,5754,5.8,301,89,785,32:58:00,17,1991,REG,offense
5,KC,16,20.1,322,1021,5321,5.2,323,94,724,32:39:00,11,1991,REG,offense
6,NYJ,16,19.6,314,1058,5316,5.0,331,104,825,35:32:00,12,1991,REG,offense
7,MIA,16,21.4,343,969,5241,5.4,313,61,521,30:33:00,-7,1991,REG,offense
8,ATL,16,22.6,361,941,5113,5.4,259,114,933,30:36:00,-1,1991,REG,offense
9,DAL,16,21.4,342,973,5092,5.2,305,77,625,31:34:00,1,1991,REG,offense
10,MIN,16,18.8,301,968,5084,5.3,300,89,675,30:03:00,1,1991,REG,offense
11,CHI,16,18.7,299,1024,5069,5.0,319,78,642,34:40:00,-3,1991,REG,offense
12,DEN,16,19.0,304,1012,5012,5.0,286,94,715,32:36:00,8,1991,REG,offense
13,LAC,16,17.1,274,1010,4995,4.9,286,96,799,31:37:00,0,1991,REG,offense
14,CIN,16,16.4,263,992,4969,5.0,287,107,846,30:30:00,-10,1991,REG,offense
15,NO,16,21.3,341,1008,4965,4.9,267,102,801,34:26:00,18,1991,REG,offense
16,NYG,16,17.6,281,952,4918,5.2,280,92,728,32:47:00,-2,1991,REG,offense
17,DET,16,21.2,339,939,4788,5.1,280,94,799,29:46:00,7,1991,REG,offense
18,LAR,16,14.6,234,936,4695,5.0,272,107,769,29:03:00,-21,1991,REG,offense
19,CLE,16,18.3,293,933,4672,5.0,266,108,872,29:14:00,15,1991,REG,offense
20,PIT,16,18.2,292,915,4585,5.0,254,115,928,27:17:00,0,1991,REG,offense
21,SEA,16,17.2,276,926,4528,4.9,251,85,682,30:40:00,-5,1991,REG,offense
22,NE,16,13.2,211,976,4473,4.6,259,96,661,30:11:00,-11,1991,REG,offense
23,LVR,16,18.6,298,892,4434,5.0,248,117,1013,29:27:00,1,1991,REG,offense
24,GB,16,17.1,273,940,4329,4.6,259,97,829,29:32:00,-7,1991,REG,offense
25,PHI,16,17.8,285,1004,4286,4.3,249,111,829,33:25:00,4,1991,REG,offense
26,TB,16,12.4,199,922,4002,4.3,250,88,780,27:57:00,-20,1991,REG,offense
27,ARI,16,12.2,196,927,3963,4.3,237,79,666,29:01:00,-1,1991,REG,offense
28,IND,16,8.9,143,923,3741,4.1,236,85,684,28:21:00,-3,1991,REG,offense
1,WAS,3,34.0,102,199,1094,5.5,63,13,151,33:49:00,12,1991,POST,offense
2,BUF,3,23.7,71,225,944,4.2,66,18,125,29:31:00,-3,1991,POST,offense
3,HOU,2,20.5,41,119,725,6.1,44,21,140,32:03:00,1,1991,POST,offense
4,DET,2,24.0,48,120,725,6.0,43,11,85,31:32:00,1,1991,POST,offense
5,DEN,2,16.5,33,134,722,5.4,46,10,90,32:14:00,0,1991,POST,offense
6,DAL,2,11.5,23,102,564,5.5,31,5,35,26:26:00,-1,1991,POST,offense
7,ATL,2,17.0,34,107,527,4.9,32,9,67,25:22:00,-4,1991,POST,offense
8,KC,2,12.0,24,109,417,3.8,30,13,79,28:12:00,3,1991,POST,offense
9,CHI,1,13.0,13,82,372,4.5,26,4,16,37:29:00,-3,1991,POST,offense
10,NO,1,20.0,20,67,330,4.9,23,5,49,33:08:00,-1,1991,POST,offense
11,NYJ,1,10.0,10,55,285,5.2,18,5,45,26:20:00,-1,1991,POST,offense
12,LVR,1,6.0,6,55,276,5.0,16,9,75,29:28:00,-4,1991,POST,offense
1,SF,16,26.9,431,994,6192,6.2,346,78,616,32:21:00,7,1992,REG,offense
2,BUF,16,23.8,381,1087,5893,5.4,350,103,775,28:16:00,-3,1992,REG,offense
3,HOU,16,22.0,352,958,5653,5.9,338,110,809,31:12:00,-3,1992,REG,offense
4,DAL,16,25.6,409,1014,5606,5.5,322,92,647,34:57:00,7,1992,REG,offense
5,MIA,16,21.2,340,998,5500,5.5,319,87,656,31:46:00,-2,1992,REG,offense
6,LAC,16,20.9,335,1018,5221,5.1,306,92,815,32:10:00,3,1992,REG,offense
7,PHI,16,22.1,354,1009,4989,4.9,291,103,817,32:17:00,9,1992,REG,offense
8,CHI,16,18.4,295,952,4941,5.2,283,94,776,30:31:00,-4,1992,REG,offense
9,ATL,16,20.4,327,909,4904,5.4,274,78,656,28:30:00,-6,1992,REG,offense
10,PIT,16,18.7,299,989,4904,5.0,285,107,946,32:04:00,11,1992,REG,offense
11,MIN,16,23.4,374,995,4899,4.9,289,99,809,30:37:00,10,1992,REG,offense
12,WAS,16,18.8,300,991,4885,4.9,276,85,741,31:04:00,10,1992,REG,offense
13,LAR,16,19.6,313,914,4877,5.3,278,82,587,28:30:00,-4,1992,REG,offense
14,NO,16,20.6,330,895,4806,5.4,268,61,567,31:10:00,9,1992,REG,offense
15,GB,16,17.2,276,990,4786,4.8,293,88,749,33:51:00,-2,1992,REG,offense
16,TB,16,16.7,267,994,4774,4.8,281,96,756,29:15:00,4,1992,REG,offense
17,ARI,16,15.2,243,947,4575,4.8,277,88,722,31:01:00,-14,1992,REG,offense
18,CLE,16,17.0,272,883,4489,5.1,242,104,765,30:13:00,4,1992,REG,offense
19,DET,16,17.1,273,844,4441,5.3,241,125,903,28:36:00,-4,1992,REG,offense
20,DEN,16,16.4,262,927,4440,4.8,234,98,768,29:33:00,-14,1992,REG,offense
21,NYJ,16,13.8,220,958,4428,4.6,252,109,875,30:30:00,0,1992,REG,offense
22,NYG,16,19.1,306,936,4412,4.7,271,87,645,29:22:00,3,1992,REG,offense
23,LVR,16,15.6,249,953,4380,4.6,259,113,832,29:08:00,-19,1992,REG,offense
24,IND,16,13.5,216,969,4368,4.5,266,122,953,29:34:00,-2,1992,REG,offense
25,KC,16,21.8,348,906,4321,4.8,248,82,680,30:41:00,19,1992,REG,offense
26,CIN,16,17.1,274,934,3925,4.2,248,98,756,27:22:00,6,1992,REG,offense
27,NE,16,12.8,205,928,3584,3.9,215,111,1051,29:54:00,-16,1992,REG,offense
28,SEA,16,8.8,140,945,3374,3.6,217,112,933,30:45:00,-9,1992,REG,offense
1,BUF,4,27.8,111,270,1411,5.2,80,15,113,31:45:00,-1,1992,POST,offense
2,DAL,3,38.7,116,193,1170,6.1,66,17,108,34:56:00,12,1992,POST,offense
3,SF,2,20.0,40,122,816,6.7,46,8,73,29:54:00,-4,1992,POST,offense
4,WAS,2,18.5,37,140,681,4.9,44,6,38,35:48:00,1,1992,POST,offense
5,MIA,2,20.5,41,129,600,4.7,33,5,40,30:24:00,1,1992,POST,offense
6,LAC,2,8.5,17,125,544,4.4,28,9,83,26:19:00,-2,1992,POST,offense
7,PHI,2,23.0,46,116,527,4.5,31,10,113,28:04:00,2,1992,POST,offense
8,HOU,1,38.0,38,76,429,5.6,27,4,30,37:39:00,-1,1992,POST,offense
9,NO,1,20.0,20,60,360,6.0,20,4,35,28:35:00,-3,1992,POST,offense
10,KC,1,0.0,0,60,251,4.2,17,7,62,30:14:00,-2,1992,POST,offense
11,PIT,1,3.0,3,63,240,3.8,18,2,23,27:34:00,-2,1992,POST,offense
12,MIN,1,7.0,7,41,148,3.6,9,7,53,17:17,-1,1992,POST,offense
1,SF,16,29.6,473,1022,6436,6.3,372,95,800,31:52:00,0,1993,REG,offense
2,MIA,16,21.8,349,1029,5817,5.7,310,83,661,29:07:00,-7,1993,REG,offense
3,HOU,16,23.0,368,1065,5659,5.3,330,133,1005,32:48:00,-2,1993,REG,offense
4,DAL,16,23.5,376,994,5616,5.6,323,95,749,31:17:00,10,1993,REG,offense
5,DEN,16,23.3,373,1060,5461,5.2,327,113,822,32:37:00,3,1993,REG,offense
6,BUF,16,20.6,329,1078,5260,4.9,318,95,630,28:46:00,12,1993,REG,offense
7,PIT,16,19.2,308,1079,5235,4.9,307,100,859,32:15:00,11,1993,REG,offense
8,ARI,16,20.4,326,1007,5218,5.2,295,78,644,32:08:00,-7,1993,REG,offense
9,NYJ,16,16.9,270,1031,5212,5.1,304,90,555,32:16:00,5,1993,REG,offense
10,NYG,16,18.0,288,1024,5145,5.0,301,92,590,33:40:00,11,1993,REG,offense
11,ATL,16,19.8,316,1008,5117,5.1,293,111,838,31:22:00,-18,1993,REG,offense
12,NE,16,14.9,238,1091,5056,4.6,315,65,468,30:30:00,-12,1993,REG,offense
13,LVR,16,19.1,306,978,5014,5.1,292,149,1176,31:46:00,-1,1993,REG,offense
14,LAC,16,20.1,322,1050,4967,4.7,315,88,706,30:52:00,15,1993,REG,offense
15,PHI,16,18.3,293,1055,4911,4.7,302,101,758,32:31:00,3,1993,REG,offense
16,KC,16,20.5,328,970,4835,5.0,302,124,969,29:29:00,11,1993,REG,offense
17,MIN,16,17.3,277,1009,4815,4.8,283,109,806,30:28:00,9,1993,REG,offense
